Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18
;;;;;;;;;;;;;;;;;
year ;   jan ;   feb;    mar ;   apr ;   may ;   jun;    jul;    aug;    sep ;   oct ;   nov ;   dec ;    win ;    spr ;    sum  ;   aut ;    ann
1966 ;  64.9 ; 126.1;   75.4 ;  91.3 ;  86.4 ; 104.8;   73.1;  100.3;   74.9 ; 124.9 ; 106.8 ; 159.0 ;  354.1 ;  253.1 ;  278.1  ; 306.7 ; 1187.8
1967 ;  83.5 ; 109.1;  106.6 ;  56.2 ; 131.7 ;  50.8;   78.9;   83.8;  116.5 ; 196.8 ;  92.9 ;  97.5 ;  351.5 ;  294.5 ;  213.5  ; 406.2 ; 1204.2
1968 ; 104.4 ;  53.7;   92.8 ;  67.3 ;  84.2 ;  79.2;   98.0;   67.8;  135.4 ; 132.2 ;  75.8 ;  81.2 ;  255.6 ;  244.3 ;  244.9  ; 343.4 ; 1071.9
1969 ; 111.6 ;  72.2;   59.6 ;  64.4 ; 108.4 ;  67.1;   70.6;   76.9;   70.1 ;  59.1 ; 144.2 ;  98.2 ;  265.0 ;  232.5 ;  214.6  ; 273.3 ; 1002.4
1970 ; 108.6 ; 107.2;   78.0 ;  92.8 ;  41.7 ;  53.6;   98.5;   94.7;   97.1 ; 111.1 ; 174.1 ;  63.0 ;  314.0 ;  212.6 ;  246.8  ; 382.3 ; 1120.5
1971 ; 113.3 ;  59.1;   75.8 ;  54.8 ;  57.9 ;  89.1;   57.4;  106.4;   37.0 ; 102.7 ; 113.5 ;  68.5 ;  235.4 ;  188.5 ;  252.9  ; 253.1 ;  935.3
1972 ; 116.7 ;  81.4;   77.8 ;  89.0 ;  89.5 ;  92.5;   57.9;   52.9;   36.2 ;  48.1 ; 126.2 ; 118.3 ;  266.5 ;  256.3 ;  203.3  ; 210.5 ;  986.4
1973 ;  69.7 ;  68.9;   42.7 ;  72.2 ;  85.6 ;  68.3;   86.5;   83.0;   86.6 ;  62.1 ;  96.7 ; 106.4 ;  256.9 ;  200.5 ;  237.7  ; 245.4 ;  928.8
1974 ; 172.3 ; 112.2;   53.1 ;  14.6 ;  55.4 ;  64.8;   87.8;   93.0;  145.1 ;  95.2 ; 148.1 ; 139.1 ;  390.9 ;  123.1 ;  245.6  ; 388.4 ; 1180.7
1975 ; 168.5 ;  36.5;   70.5 ;  80.7 ;  41.8 ;  35.7;   80.1;   61.7;  128.7 ;  53.5 ;  95.8 ;  67.9 ;  344.0 ;  193.0 ;  177.5  ; 278.0 ;  921.4
1976 ; 111.4 ;  61.9;   77.4 ;  35.8 ;  84.5 ;  38.6;   44.4;   24.2;  141.6 ; 163.4 ;  98.4 ;  92.6 ;  241.1 ;  197.6 ;  107.3  ; 403.4 ;  974.2
