Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18
;;;;;;;;;;;;;;;;;
year ;   jan ;   feb;    mar;    apr;    may ;   jun;    jul;    aug;    sep;    oct;    nov;    dec ;    win;     spr;     sum ;    aut ;    ann
1985 ;  74.6 ;  37.4;   89.3;   76.6;   77.4 ;  76.6;  115.9;  191.2;  156.5;   48.3;   91.2;   98.9 ;  232.1;   243.2;   383.7 ;  295.9 ; 1133.7
1986 ; 158.6 ;   5.4;  117.8;  105.8;  129.5 ;  47.4;   73.9;  143.5;    9.1;  110.4;  133.4;  163.7 ;  262.8;   353.1;   264.8 ;  252.9 ; 1198.5
1987 ;  48.7 ;  64.3;  107.3;   47.5;   41.7 ;  98.9;   71.7;  119.7;   86.4;  139.9;   86.5;   70.4 ;  276.7;   196.5;   290.2 ;  312.8 ;  983.0
1988 ; 179.4 ; 113.9;  139.9;   40.8;   47.1 ;  48.1;  134.0;  131.0;  112.1;  144.9;   58.5;   92.5 ;  363.8;   227.8;   313.1 ;  315.5 ; 1242.3
1989 ;  75.0 ; 102.4;  124.9;  106.7;   32.7 ;  58.3;   43.8;  117.0;   54.7;  145.7;   51.2;   77.6 ;  269.9;   264.2;   219.2 ;  251.5 ;  989.9
1990 ; 140.4 ; 194.9;   64.6;   74.0;   50.2 ; 127.6;   63.5;   92.0;   47.8;  205.7;   88.0;  120.4 ;  412.9;   188.7;   283.1 ;  341.5 ; 1269.0
1991 ; 100.5 ;  57.2;  112.7;  118.8;   10.7 ;  97.7;   62.6;   38.7;   60.0;  109.2;  144.1;  123.0 ;  278.1;   242.2;   199.0 ;  313.2 ; 1035.1
1992 ;  80.2 ;  93.3;  144.9;  109.0;   48.4 ;  40.2;   90.0;  171.9;   90.1;   84.2;  139.5;   86.3 ;  296.5;   302.3;   302.1 ;  313.7 ; 1178.0
1993 ; 142.2 ;  31.2;   66.9;  124.8;  136.5 ;  74.8;  107.1;   67.7;  107.3;   40.3;   60.0;  196.9 ;  259.7;   328.2;   249.6 ;  207.6 ; 1155.7
1994 ; 155.4 ; 132.8;  130.6;   89.3;   38.3 ;  69.0;   68.0;   91.4;   74.1;   63.9;   94.4;  152.1 ;  485.0;   258.2;   228.4 ;  232.4 ; 1159.3
